category,tool_name,vendor,use_case_title,use_case_description,target_users,maturity,business_value_score,business_value_rationale,roi_drivers,example_companies,source_url,source_type,collected_at,last_verified,notes,first_available,target_industries,target_departments
Enterprise/workflow agents,AutoGen,Microsoft,Warehouse and logistics exception-handling agents,"AutoGen-based multi-agent setups monitor warehouse-management-system events, triage exceptions (mis-picks, damaged inventory, delayed shipments), and draft resolution steps for operations staff.",Logistics and supply-chain operations teams,emerging,3,"Multi-agent exception handling is well matched to AutoGen's conversation framework; adoption is growing among logistics tech teams, though public named case studies remain limited.",time saved; cost reduction,Not publicly disclosed,https://microsoft.github.io/autogen/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-02-01,Logistics/Transportation,Supply Chain/Operations; IT
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Automated freight rate shopping and booking,"Browser agents compare carrier rates across freight-booking portals, fill out quote requests, and complete bookings within pre-approved cost thresholds for logistics procurement teams.",Logistics procurement and freight-sourcing teams,experimental,2,"A natural extension of browser-agent capabilities into procurement workflows; promising but still early, with few confirmed production deployments.",time saved; cost reduction,Not publicly disclosed,https://openai.com/index/introducing-operator/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Logistics/Transportation,Procurement; Sales
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Retail assortment and pricing competitive research,"Merchandising and marketing teams use Deep Research to compile multi-source competitive assortment, pricing, and promotion reports ahead of planning cycles.","Retail merchandising, pricing, and marketing teams",emerging,3,"Deep-research agents are commonly adopted by retail analysts for faster competitive-intelligence gathering; time savings are plausible and widely reported anecdotally, though few retailers publish specifics.",time saved; quality improvement,Not publicly disclosed,https://openai.com/index/introducing-deep-research/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Retail/E-commerce,Marketing; Sales
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Vehicle recall and regulatory-filing documentation drafting,"Agents assemble draft regulatory-recall notices and technical-service-bulletin documentation from engineering and field-report inputs, cross-checking against applicable safety-standard requirements before routing to compliance counsel for sign-off.",Automotive regulatory affairs and legal/compliance teams,experimental,2,"Document-drafting-with-human-signoff is a plausible, low-risk entry point for agents in a heavily regulated function, but safety-critical filings mean adoption is necessarily cautious and largely undocumented publicly.",time saved; quality improvement,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Automotive,Legal/Compliance
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Utility rate-case and regulatory-filing research,"Regulatory-affairs teams use Deep Research to compile multi-source briefs on peer utilities' rate-case filings, precedent rulings, and public-comment sentiment ahead of their own filings to state regulators.",Energy/utilities regulatory affairs and legal teams,emerging,3,"Regulatory research is exactly the kind of multi-source synthesis these agents are well suited for; utility regulatory teams are known to be early, if quiet, adopters of general research agents for this work.",time saved; quality improvement,Not publicly disclosed,https://openai.com/index/introducing-deep-research/,community_report,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Energy/Utilities,Legal/Compliance
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Supplier-contract and safety-standard compliance cross-checking,"LangGraph workflows extract clauses from supplier contracts and cross-check them against required safety, environmental, and quality-standard obligations, flagging gaps for procurement and compliance review before signing.",Manufacturing legal/compliance and procurement teams,experimental,2,"A natural fit for structured-extraction-plus-rules-checking agent patterns, but manufacturing compliance workflows are conservative about automation and public deployments are scarce.",quality improvement; cost reduction,Not publicly disclosed,https://www.langchain.com/langgraph,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Manufacturing/Industrial,Legal/Compliance; Procurement
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Seasonal-hiring screening and onboarding assistant,"An HR assistant screens seasonal/hourly applicants against role requirements, schedules interviews, and answers new-hire onboarding questions (scheduling, uniform/equipment policy, benefits basics) during high-volume retail hiring peaks.",Retail HR and store-operations teams,emerging,3,"High-volume, repetitive seasonal hiring is a well-matched agent use case with clear time-savings potential for HR teams during peak periods; adoption is growing but rarely named publicly by specific retailers.",time saved; cost reduction,Not publicly disclosed,https://platform.openai.com/docs/assistants/overview,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-08-01,Retail/E-commerce,HR
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Shift-scheduling and frontline HR query assistant,"Agents answer frontline factory-worker HR questions (shift swaps, leave policy, benefits) and help supervisors draft shift schedules that respect labor-agreement constraints, escalating anything ambiguous to HR staff.",Manufacturing frontline HR and shift-supervisor teams,experimental,2,"Plausible time-saving use case for frontline HR support, but labor-agreement and shift-scheduling constraints are high-stakes enough that public deployments are still limited to pilots.",time saved,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Manufacturing/Industrial,HR
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Automated equipment-parts sourcing and RFQ comparison,"Browser agents search supplier portals for replacement-parts availability and pricing, fill out RFQ (request-for-quote) forms across multiple vendors, and compile a comparison table for procurement approval.",Energy/utilities procurement and maintenance-planning teams,experimental,2,"A reasonable extension of browser-agent capability into industrial procurement, but plant-equipment sourcing has long vendor-qualification cycles that limit how much can be automated end-to-end today.",time saved; cost reduction,Not publicly disclosed,https://openai.com/index/introducing-operator/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Energy/Utilities,Procurement
Enterprise/workflow agents,AutoGen,Microsoft,Multi-agent vendor negotiation prep and RFQ triage for merchandising buyers,"AutoGen-based agents triage incoming supplier RFQ responses, flag pricing and terms outliers against historical benchmarks, and draft negotiation talking points for merchandising buyers ahead of vendor calls.",Retail merchandising and procurement/buying teams,experimental,2,"Multi-agent triage-and-prep is a good structural fit for AutoGen, but retail buyer-vendor negotiation remains a relationship-driven process that few retailers have publicly automated beyond prep work.",time saved; cost reduction,Not publicly disclosed,https://microsoft.github.io/autogen/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-11-01,Retail/E-commerce,Procurement
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent dealer-network staffing and training-content generation,"CrewAI-orchestrated agents draft role-specific training material for dealer-service staff from technical documentation, and help regional HR teams track certification/staffing gaps across the dealer network.",Automotive dealer-network HR and training teams,experimental,2,Training-content generation from technical docs is a well-matched agent task; dealer-network HR/staffing analytics is a plausible but not yet publicly documented extension.,time saved; quality improvement,Not publicly disclosed,https://www.crewai.com,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Automotive,HR
