category,tool_name,vendor,use_case_title,use_case_description,target_users,maturity,business_value_score,business_value_rationale,roi_drivers,example_companies,source_url,source_type,collected_at,last_verified,notes,first_available,target_industries,target_departments,target_company_size
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Dealer and service-center support copilot,"An in-dealer assistant built on the Agents SDK answers technician and service-advisor questions by pulling from repair manuals, parts catalogs, and warranty rules, and can draft customer-facing repair explanations.",Automotive dealer service departments,experimental,2,"A plausible, technically straightforward RAG+agent use case for dealer networks, but few named public deployments at scale exist yet to confirm broad ROI.",time saved; quality improvement,Not publicly disclosed,https://platform.openai.com/docs/assistants/overview,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-09-01,Automotive,After-Sales/Service; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,GitHub Copilot Workspace,GitHub (Microsoft),Embedded/automotive software (ECU) code assistance,"Automotive software teams use Copilot Workspace to scaffold and review embedded C/C++ code changes for ECU and infotainment software, with mandatory human review on safety-critical paths.",Automotive embedded-software and R&D engineering teams,emerging,3,Coding agents are increasingly used in automotive software orgs for non-safety-critical embedded code; functional-safety certification requirements limit full autonomy.,time saved; quality improvement,Not publicly disclosed,https://github.blog/copilot-workspace,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-04-01,Automotive,R&D/Engineering; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Perplexity,Perplexity AI,Grid outage and demand-forecast research briefs,"Utility planning teams use Perplexity to compile cited briefs on weather-driven demand spikes, regulatory filings, and peer-utility outage responses to support grid-operations decisions.",Energy/utilities operations and planning teams,emerging,3,General-purpose research agents are commonly used informally by utility analysts for faster situational research; this is an adaptation of a general tool rather than a purpose-built utility product.,time saved,Not publicly disclosed,https://www.perplexity.ai,community_report,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-08-01,Energy/Utilities,IT; Supply Chain/Operations,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent energy trading and settlement support,"CrewAI-orchestrated agents cross-check trade confirmations, settlement data, and market-price feeds for energy trading desks, flagging discrepancies for human traders.",Energy trading and finance/back-office teams,experimental,2,"Multi-agent reconciliation is a natural fit for CrewAI's orchestration model, but energy-trading-specific public deployments are scarce and unconfirmed.",time saved; quality improvement,Not publicly disclosed,https://www.crewai.com,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-05-01,Energy/Utilities,Finance; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Claude with computer use,Anthropic,Automated SCADA/legacy plant-control UI monitoring,"Computer-use agents interact with legacy SCADA and plant-control dashboards that lack modern APIs, reading gauges/alarms and logging or escalating anomalies for operators.",Energy and manufacturing plant operations teams,experimental,2,"Computer-use agents are well-suited to legacy industrial UIs without APIs, but safety-critical operational environments mean adoption is cautious and mostly pilot-stage.",quality improvement; cost reduction,Not publicly disclosed,https://www.anthropic.com/news/developing-computer-use,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Energy/Utilities; Manufacturing/Industrial,IT; Manufacturing/Production,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Manufacturing quality-inspection agent orchestration,"Agents built on the Claude Agent SDK coordinate computer-vision inspection results, cross-reference them against spec sheets, and file/route non-conformance reports on the factory floor.",Manufacturing quality-assurance and R&D engineering teams,experimental,2,"An emerging pattern of combining vision inspection with LLM-agent orchestration for non-conformance handling; still early, with limited named public deployments.",quality improvement; time saved,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Manufacturing/Industrial,Manufacturing/Production; R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,AutoGen,Microsoft,Warehouse and logistics exception-handling agents,"AutoGen-based multi-agent setups monitor warehouse-management-system events, triage exceptions (mis-picks, damaged inventory, delayed shipments), and draft resolution steps for operations staff.",Logistics and supply-chain operations teams,emerging,3,"Multi-agent exception handling is well matched to AutoGen's conversation framework; adoption is growing among logistics tech teams, though public named case studies remain limited.",time saved; cost reduction,Not publicly disclosed,https://microsoft.github.io/autogen/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-02-01,Logistics/Transportation,Supply Chain/Operations; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Automated freight rate shopping and booking,"Browser agents compare carrier rates across freight-booking portals, fill out quote requests, and complete bookings within pre-approved cost thresholds for logistics procurement teams.",Logistics procurement and freight-sourcing teams,experimental,2,"A natural extension of browser-agent capabilities into procurement workflows; promising but still early, with few confirmed production deployments.",time saved; cost reduction,Not publicly disclosed,https://openai.com/index/introducing-operator/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Logistics/Transportation,Procurement; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Retail assortment and pricing competitive research,"Merchandising and marketing teams use Deep Research to compile multi-source competitive assortment, pricing, and promotion reports ahead of planning cycles.","Retail merchandising, pricing, and marketing teams",emerging,3,"Deep-research agents are commonly adopted by retail analysts for faster competitive-intelligence gathering; time savings are plausible and widely reported anecdotally, though few retailers publish specifics.",time saved; quality improvement,Not publicly disclosed,https://openai.com/index/introducing-deep-research/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Retail/E-commerce,Marketing; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Vehicle recall and regulatory-filing documentation drafting,"Agents assemble draft regulatory-recall notices and technical-service-bulletin documentation from engineering and field-report inputs, cross-checking against applicable safety-standard requirements before routing to compliance counsel for sign-off.",Automotive regulatory affairs and legal/compliance teams,experimental,2,"Document-drafting-with-human-signoff is a plausible, low-risk entry point for agents in a heavily regulated function, but safety-critical filings mean adoption is necessarily cautious and largely undocumented publicly.",time saved; quality improvement,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Automotive,Legal/Compliance,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Utility rate-case and regulatory-filing research,"Regulatory-affairs teams use Deep Research to compile multi-source briefs on peer utilities' rate-case filings, precedent rulings, and public-comment sentiment ahead of their own filings to state regulators.",Energy/utilities regulatory affairs and legal teams,emerging,3,"Regulatory research is exactly the kind of multi-source synthesis these agents are well suited for; utility regulatory teams are known to be early, if quiet, adopters of general research agents for this work.",time saved; quality improvement,Not publicly disclosed,https://openai.com/index/introducing-deep-research/,community_report,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Energy/Utilities,Legal/Compliance,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Supplier-contract and safety-standard compliance cross-checking,"LangGraph workflows extract clauses from supplier contracts and cross-check them against required safety, environmental, and quality-standard obligations, flagging gaps for procurement and compliance review before signing.",Manufacturing legal/compliance and procurement teams,experimental,2,"A natural fit for structured-extraction-plus-rules-checking agent patterns, but manufacturing compliance workflows are conservative about automation and public deployments are scarce.",quality improvement; cost reduction,Not publicly disclosed,https://www.langchain.com/langgraph,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Manufacturing/Industrial,Legal/Compliance; Procurement,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Seasonal-hiring screening and onboarding assistant,"An HR assistant screens seasonal/hourly applicants against role requirements, schedules interviews, and answers new-hire onboarding questions (scheduling, uniform/equipment policy, benefits basics) during high-volume retail hiring peaks.",Retail HR and store-operations teams,emerging,3,"High-volume, repetitive seasonal hiring is a well-matched agent use case with clear time-savings potential for HR teams during peak periods; adoption is growing but rarely named publicly by specific retailers.",time saved; cost reduction,Not publicly disclosed,https://platform.openai.com/docs/assistants/overview,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-08-01,Retail/E-commerce,HR,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Shift-scheduling and frontline HR query assistant,"Agents answer frontline factory-worker HR questions (shift swaps, leave policy, benefits) and help supervisors draft shift schedules that respect labor-agreement constraints, escalating anything ambiguous to HR staff.",Manufacturing frontline HR and shift-supervisor teams,experimental,2,"Plausible time-saving use case for frontline HR support, but labor-agreement and shift-scheduling constraints are high-stakes enough that public deployments are still limited to pilots.",time saved,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Manufacturing/Industrial,HR,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Automated equipment-parts sourcing and RFQ comparison,"Browser agents search supplier portals for replacement-parts availability and pricing, fill out RFQ (request-for-quote) forms across multiple vendors, and compile a comparison table for procurement approval.",Energy/utilities procurement and maintenance-planning teams,experimental,2,"A reasonable extension of browser-agent capability into industrial procurement, but plant-equipment sourcing has long vendor-qualification cycles that limit how much can be automated end-to-end today.",time saved; cost reduction,Not publicly disclosed,https://openai.com/index/introducing-operator/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Energy/Utilities,Procurement,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,AutoGen,Microsoft,Multi-agent vendor negotiation prep and RFQ triage for merchandising buyers,"AutoGen-based agents triage incoming supplier RFQ responses, flag pricing and terms outliers against historical benchmarks, and draft negotiation talking points for merchandising buyers ahead of vendor calls.",Retail merchandising and procurement/buying teams,experimental,2,"Multi-agent triage-and-prep is a good structural fit for AutoGen, but retail buyer-vendor negotiation remains a relationship-driven process that few retailers have publicly automated beyond prep work.",time saved; cost reduction,Not publicly disclosed,https://microsoft.github.io/autogen/,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-11-01,Retail/E-commerce,Procurement,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent dealer-network staffing and training-content generation,"CrewAI-orchestrated agents draft role-specific training material for dealer-service staff from technical documentation, and help regional HR teams track certification/staffing gaps across the dealer network.",Automotive dealer-network HR and training teams,experimental,2,Training-content generation from technical docs is a well-matched agent task; dealer-network HR/staffing analytics is a plausible but not yet publicly documented extension.,time saved; quality improvement,Not publicly disclosed,https://www.crewai.com,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Automotive,HR,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,Devin Desktop,Cognition,IDE-embedded autonomous feature implementation,"Combines Devin's autonomous planning/editing loop with a full IDE, letting a developer hand off a feature or bug fix and review the agent's multi-file changes inline rather than through a separate agent dashboard.",Software engineering teams,emerging,3,Early-stage successor product; inherits Devin's capability profile but real-world adoption data specific to the desktop/IDE form factor is still limited.,time saved,Not publicly disclosed,https://cognition.ai,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-06-01,Software/Technology,R&D/Engineering; IT,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,Devin Desktop,Cognition,Migrating existing Windsurf users to an agent-native workflow,"Cognition positioned the June 2026 Windsurf-to-Devin-Desktop rename as a migration path for existing Windsurf users into a more autonomous, agent-first coding workflow rather than a traditional autocomplete-style IDE experience.",Engineering teams already using Windsurf/Codeium,emerging,2,Transition/adoption use case rather than a distinct technical capability; value depends on how smoothly the user base migrates.,time saved,Not publicly disclosed,https://cognition.ai,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-06-01,Software/Technology,R&D/Engineering,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,Kiro,Amazon (AWS),Spec-driven feature development from a written specification,"Developers write a structured specification of what they're building before Kiro generates code, aiming to reduce the back-and-forth prompting loop common to chat-style coding agents.",Software engineering teams,emerging,3,Newly positioned as AWS's strategic successor to Amazon Q Developer; the underlying approach (spec-first rather than prompt-first) is a genuine differentiation but is new enough that comparative ROI evidence is thin.,quality improvement; time saved,Not publicly disclosed,https://aws.amazon.com/q/developer/,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-05-01,Software/Technology,R&D/Engineering; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,Kiro,Amazon (AWS),Migration path for Amazon Q Developer customers ahead of sunset,"AWS blocked new Q Developer signups in May 2026 and set an April 2027 end-of-support date, explicitly directing customers toward Kiro -- a mandatory-migration use case rather than an optional upgrade.",Existing Amazon Q Developer customers,emerging,2,"Migration necessity, not a demonstrated superior-value use case yet; teams should evaluate Kiro on its own merits rather than assuming parity.",risk reduction,Not publicly disclosed,https://aws.amazon.com/q/developer/,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-05-01,Cross-industry,IT; R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Coding/dev agents,Replit Agent,Replit,Building and deploying a full application from a natural-language prompt,"Plans, writes, runs, and iterates on a complete web application inside Replit's cloud IDE, with checkpoints for the user to review and redirect progress.","Individual developers, small teams",mainstream,3,"Widely used for rapid prototyping and small production apps; less proven for large, complex enterprise codebases.",time saved,Not publicly disclosed,https://replit.com/ai,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-09-01,Software/Technology; Cross-industry,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M)
Coding/dev agents,Replit Agent,Replit,Non-engineer building an internal tool without a dedicated dev team,"Lets someone without a software engineering background describe an internal tool (a dashboard, a small workflow app) and have Replit Agent build and host a working version.","Product managers, ops staff, non-engineers",emerging,3,Meaningful for teams too small to have spare engineering capacity for internal tooling; quality/maintainability of agent-built code for anything beyond a small tool is a real open question.,cost reduction; time saved,Not publicly disclosed,https://replit.com/ai,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-09-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M)
General-purpose/browser agents,Claude in Chrome,Anthropic,Automating multi-step web tasks across internal and external sites,"Reads a webpage's content and DOM, then clicks, types, and navigates across tabs to complete a described multi-step task (form-filling, data lookup, cross-site research) without the user driving each step.","Knowledge workers, ops teams",emerging,3,"Reached general availability in Aug 2026; capability is real but security researchers have already demonstrated prompt-injection attack chains against it, so adoption for anything touching sensitive systems should stay cautious.",time saved,Not publicly disclosed,https://www.anthropic.com,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-08-01,Cross-industry,Cross-functional; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Claude in Chrome,Anthropic,Cross-device continuity for agentic browsing work,"Browser sessions, skills, and connectors set up in Claude in Chrome carry over to Anthropic's desktop, web, and mobile apps via 'Cowork,' letting a task started in the browser continue elsewhere.",Knowledge workers,experimental,2,Convenience/continuity feature rather than a standalone value driver; too new for adoption evidence.,time saved,Not publicly disclosed,https://www.anthropic.com,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2026-08-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Gemini Deep Research,Google,Free-tier competitive/market research reports,"Runs a multi-source web research pass and produces a cited report, with a free tier (5 reports/month) making it accessible without an enterprise research budget.","Analysts, small business owners",mainstream,3,"Independent comparisons find it faster and more source-heavy than ChatGPT Deep Research, though less rigorous and text-only; free-tier access is a genuine advantage for budget-conscious teams.",cost reduction; time saved,Not publicly disclosed,https://gemini.google.com,community_report,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Cross-industry,Marketing; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B)
Research/multi-step task agents,Gemini Deep Research,Google,Research grounded in a company's own Workspace documents,"Combines public web search with a user's connected Gmail, Drive, Docs, Sheets, and Chat content, producing reports that can move directly into a Google Doc or become a podcast-style audio summary.",Knowledge workers on Google Workspace,emerging,3,The Workspace-grounding angle is a real differentiator for teams already on Google Workspace; value is limited for organizations on other productivity suites.,time saved; quality improvement,Not publicly disclosed,https://gemini.google.com,community_report,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Elicit,Elicit,Automated systematic literature review screening,"Screens thousands of academic papers against inclusion/exclusion criteria and extracts structured data from the matches, compressing a task that traditionally takes a research team weeks.","Academic researchers, R&D teams",mainstream,4,"Described by multiple 2026 reviewers as the de facto default tool for this specific task; vendor-reported benchmark accuracy (95%+ recall) is strong but self-reported, not independently audited.",time saved; quality improvement,Not publicly disclosed,https://elicit.com,community_report,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2021-01-01,Education/Academia; Healthcare,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Elicit,Elicit,Evidence extraction for regulatory/scientific submissions,"Extracts structured data points (sample sizes, outcomes, methodology details) from large volumes of scientific literature to support a regulatory filing or internal evidence review.",R&D and regulatory affairs teams,emerging,3,Plausible high-value use case for pharma/biotech-adjacent regulatory work; less publicly documented than the academic-literature-review use case.,time saved; risk reduction,Not publicly disclosed,https://elicit.com,community_report,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2021-01-01,Healthcare,R&D/Engineering; Legal/Compliance,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Microsoft Copilot Studio,Microsoft,Custom internal agent grounded in Microsoft 365 data,"Low-code builder for creating a custom Copilot agent that can query SharePoint, Teams, and Outlook content and act within Microsoft 365/Azure governance boundaries.",Enterprise IT and business teams,mainstream,3,Rated among the leading enterprise agent platforms in 2026 comparisons for Microsoft-tenant governance and integration depth; value is highest for organizations already deep in the Microsoft ecosystem.,time saved; quality improvement,Not publicly disclosed,https://www.microsoft.com/microsoft-copilot/microsoft-copilot-studio,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,IT; Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Microsoft Copilot Studio,Microsoft,Customer-facing support agent built without custom code,Business teams build and deploy a conversational support agent using Copilot Studio's low-code interface rather than requiring a dedicated engineering build.,Customer support and IT teams,mainstream,3,Lowers the technical bar for deploying a support agent; quality still depends heavily on how well the underlying knowledge base is curated.,cost reduction; time saved,Not publicly disclosed,https://www.microsoft.com/microsoft-copilot/microsoft-copilot-studio,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Customer Support; IT,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Microsoft Copilot Studio,Microsoft,Cross-agent orchestration via MCP with IBM watsonx,"Copilot Studio agents can call watsonx Orchestrate agents/tools directly via MCP, letting organizations combine Microsoft's and IBM's agent ecosystems rather than choosing one exclusively.",Enterprise AI platform teams,emerging,2,Reflects a maturing interoperability standard (MCP) more than a widely-adopted specific workflow yet; useful mainly for large enterprises running both platforms.,quality improvement,Not publicly disclosed,https://www.microsoft.com/microsoft-copilot/microsoft-copilot-studio,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,IT,Enterprise ($1B+)
Enterprise/workflow agents,Salesforce Agentforce,Salesforce,Autonomous support case deflection grounded in CRM data,"Handles inbound support conversations end-to-end using a company's own Salesforce Service Cloud data and case history, escalating to a human only when needed.",Customer support operations,mainstream,4,Salesforce's own internal deployment (already in this dataset's company_case_studies) reports $100M in annualized savings and an 8% YoY case-volume reduction -- one of the better-evidenced enterprise support use cases in this catalog.,cost reduction; headcount efficiency,Salesforce,https://www.salesforce.com/agentforce/,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Customer Support,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Salesforce Agentforce,Salesforce,Sales development agent for lead qualification and outreach,"Agentforce agents qualify inbound leads and draft outreach grounded in a company's Sales Cloud pipeline data, working alongside human sales reps.",Sales operations teams,emerging,3,Newer application of the same underlying platform as the support use case; less independently evidenced than the support-deflection deployment.,time saved; revenue enablement,Not publicly disclosed,https://www.salesforce.com/agentforce/,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Sales,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,ServiceNow AI Agents,ServiceNow,IT support ticket resolution via the Moveworks-powered EmployeeWorks layer,"Resolves common employee IT requests (password resets, access requests, software installs) conversationally, built on the Moveworks technology ServiceNow acquired in 2025.",IT service desk teams,mainstream,3,Moveworks had strong independent adoption before the acquisition; ROI evidence specific to the now-integrated ServiceNow-branded version is still emerging.,cost reduction; time saved,Not publicly disclosed,https://www.servicenow.com/ai-agents.html,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,IT,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,ServiceNow AI Agents,ServiceNow,Customer service workflow automation on native CRM data,"Agents handle customer service workflows using ServiceNow's own case-management data model, without needing a separate integration layer to a third-party support agent.",Customer support operations,mainstream,3,Widely used for customers already on the ServiceNow platform; the native-integration advantage is the main differentiator versus standalone support-agent vendors.,cost reduction; time saved,Not publicly disclosed,https://www.servicenow.com/ai-agents.html,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Customer Support,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,IBM watsonx Orchestrate,IBM,Cross-platform agent orchestration for regulated enterprises,"Coordinates agents and tools across a company's existing stack (SAP, Salesforce, ServiceNow) through a single orchestration layer with an auditable 'Agentic Control Plane.'",Enterprise AI platform teams in regulated industries,mainstream,3,"2026 comparisons cite it for industry-leading auditability, which matters specifically for regulated-industry buyers who need to prove compliance, not just capability.",risk reduction; quality improvement,Not publicly disclosed,https://www.ibm.com/products/watsonx-orchestrate,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Financial Services; Healthcare; Insurance,IT; Legal/Compliance,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,IBM watsonx Orchestrate,IBM,Consolidating point-solution agents into one governed layer,"Replaces a sprawl of department-specific agent tools with one orchestration layer that can call agents/tools across SAP, Salesforce, and ServiceNow via MCP.",Enterprise IT leadership,emerging,2,Consolidation value proposition is plausible but depends heavily on how much agent sprawl a given enterprise already has -- not every organization needs this yet.,cost reduction; quality improvement,Not publicly disclosed,https://www.ibm.com/products/watsonx-orchestrate,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,IT,Enterprise ($1B+)
